Trait,N,PA_R2,Ridge_R2,BayesRidge_R2,ElasticNet_R2,SVR_R2,MLP_R2,RF_R2,GBR_R2,XGB_R2,LGBM_R2,CatBoost_R2,Best,Best_R2
TPI,1709,0.924,0.9465,0.9458,0.9459,0.8294,0.6592,0.9582,0.9585,0.9582,0.9579,0.9572,GBR,0.9585
NM$,1709,0.9523,0.9653,0.9649,0.9649,0.8262,0.9568,0.9716,0.9705,0.97,0.9703,0.9675,RF,0.9716
CM$,1709,0.9503,0.9642,0.9638,0.9638,0.8205,0.9569,0.9706,0.9697,0.9689,0.969,0.9675,RF,0.9706
MILK,1709,0.7844,0.7801,0.782,0.7804,0.5852,0.7443,0.8002,0.8153,0.8095,0.8119,0.805,GBR,0.8153
FAT,1709,0.9346,0.9418,0.9423,0.9422,0.9249,0.9261,0.9473,0.9493,0.9493,0.9486,0.9467,GBR,0.9493
FAT%,1709,0.7543,0.7517,0.754,0.7574,0.5608,0.5121,0.7652,0.7893,0.7791,0.7873,0.7772,GBR,0.7893
PRO,1709,0.8977,0.9041,0.9044,0.9042,0.8825,0.8785,0.9132,0.9173,0.9185,0.9191,0.9147,LGBM,0.9191
PRO%,1709,0.6295,0.6334,0.6357,0.6303,0.3669,0.2774,0.6569,0.6961,0.6698,0.6815,0.6759,GBR,0.6961
CFP,1709,0.943,0.9512,0.9518,0.9516,0.9282,0.94,0.9579,0.9586,0.9577,0.9581,0.9563,GBR,0.9586
PL,1709,0.7929,0.806,0.806,0.8078,0.7394,0.759,0.8137,0.8316,0.8279,0.8322,0.8244,LGBM,0.8322
SCS,1709,0.6008,0.6097,0.6108,0.6094,0.3734,-2.2154,0.6482,0.7076,0.6937,0.6971,0.6792,GBR,0.7076
DPR,1709,0.7103,0.7069,0.7097,0.7102,0.6154,0.6831,0.742,0.7604,0.7575,0.762,0.747,LGBM,0.762
LIV,1709,0.7682,0.7686,0.7701,0.7714,0.6713,0.7409,0.7794,0.801,0.7977,0.8008,0.7904,GBR,0.801
FI,1709,0.6987,0.6963,0.6984,0.6993,0.5928,0.6797,0.715,0.7452,0.7458,0.7562,0.735,LGBM,0.7562
HCR,1709,0.633,0.6351,0.6386,0.6397,0.5053,0.6023,0.66,0.7234,0.7148,0.7225,0.6952,GBR,0.7234
CCR,1709,0.7024,0.6999,0.7024,0.7029,0.6057,0.6741,0.7233,0.7541,0.7521,0.7528,0.7437,GBR,0.7541
MAST,1709,0.4968,0.4862,0.4913,0.4922,0.3628,0.4558,0.5336,0.6273,0.6237,0.6356,0.6029,LGBM,0.6356
FSAV,1709,0.8404,0.8439,0.8428,0.8428,0.7594,0.8282,0.8569,0.8627,0.8618,0.8661,0.8588,LGBM,0.8661
PTAT,1709,0.8898,0.8985,0.8989,0.9001,0.8515,0.8673,0.9145,0.9195,0.9196,0.9169,0.9157,XGB,0.9196
UDC,1709,0.8067,0.809,0.812,0.8138,0.6965,0.7406,0.8232,0.8297,0.8284,0.8285,0.8259,GBR,0.8297
FLC,1709,0.9078,0.9103,0.9106,0.9124,0.8547,0.8795,0.9188,0.9224,0.9229,0.9237,0.9171,LGBM,0.9237
SCE,1709,0.7126,0.75,0.7518,0.7539,0.6041,0.4209,0.79,0.8238,0.8161,0.8222,0.7992,GBR,0.8238
DCE,1709,0.58,0.5576,0.5661,0.5732,0.3046,0.0771,0.6031,0.6467,0.6449,0.6558,0.6323,LGBM,0.6558
SSB,1709,0.7733,0.7766,0.7785,0.7814,0.65,0.075,0.7985,0.8187,0.8136,0.8188,0.804,LGBM,0.8188
DSB,1709,0.6767,0.6633,0.669,0.6718,0.5409,0.3465,0.702,0.7404,0.7397,0.7447,0.7197,LGBM,0.7447
