Trait,N,Features,Best_Single,Best_R2,Best_MAE,Stack_R2,Stack_MAE,Winner,Final_R2,All_Scores
TPI,6190,81,GBR,0.8927,78.05,0.8925,78.11,GBR,0.8927,"{'GBR': np.float64(0.8927), 'LGBM': np.float64(0.8915), 'XGB': np.float64(0.8897), 'RF': np.float64(0.8897)}"
MILK,6747,91,LGBM,0.6583,308.27,0.6605,307.43,STACK,0.6605,"{'GBR': np.float64(0.6569), 'LGBM': np.float64(0.6583), 'XGB': np.float64(0.6456), 'RF': np.float64(0.6565)}"
FAT,6747,87,LGBM,0.8667,12.25,0.8673,12.24,STACK,0.8673,"{'GBR': np.float64(0.8664), 'LGBM': np.float64(0.8667), 'XGB': np.float64(0.863), 'RF': np.float64(0.8624)}"
FAT%,6747,79,GBR,0.6041,0.07,0.6069,0.07,STACK,0.6069,"{'GBR': np.float64(0.6041), 'LGBM': np.float64(0.6032), 'XGB': np.float64(0.5917), 'RF': np.float64(0.6016)}"
PRO,6747,85,LGBM,0.8281,7.05,0.8283,7.05,STACK,0.8283,"{'GBR': np.float64(0.827), 'LGBM': np.float64(0.8281), 'XGB': np.float64(0.8231), 'RF': np.float64(0.8266)}"
PRO%,6747,79,RF,0.5089,0.03,0.5128,0.03,STACK,0.5128,"{'GBR': np.float64(0.5072), 'LGBM': np.float64(0.5086), 'XGB': np.float64(0.4974), 'RF': np.float64(0.5089)}"
CFP,3583,78,LGBM,0.873,16.77,0.8738,16.77,STACK,0.8738,"{'GBR': np.float64(0.8713), 'LGBM': np.float64(0.873), 'XGB': np.float64(0.871), 'RF': np.float64(0.8721)}"
PL,6747,93,GBR,0.7171,0.75,0.7175,0.75,STACK,0.7175,"{'GBR': np.float64(0.7171), 'LGBM': np.float64(0.7162), 'XGB': np.float64(0.7081), 'RF': np.float64(0.7148)}"
LIV,6747,83,RF,0.5559,0.97,0.5591,0.96,STACK,0.5591,"{'GBR': np.float64(0.5542), 'LGBM': np.float64(0.5542), 'XGB': np.float64(0.5433), 'RF': np.float64(0.5559)}"
H_LIV,3583,82,RF,0.3701,0.25,0.3683,0.25,RF,0.3701,"{'GBR': np.float64(0.3417), 'LGBM': np.float64(0.3416), 'XGB': np.float64(0.3264), 'RF': np.float64(0.3701)}"
SCS,6747,85,LGBM,0.5041,0.08,0.5098,0.08,STACK,0.5098,"{'GBR': np.float64(0.5032), 'LGBM': np.float64(0.5041), 'XGB': np.float64(0.4836), 'RF': np.float64(0.504)}"
