Trait,N,Features,Best_Single,Best_R2_dev,Stack_R2_dev,PA_R2,Final_R2_abs,Winner,All_Scores,Time_s
TPI,6781,100,LGBM,0.9434,0.9424,-13.7897,0.8603,LGBM,"{'GBR': np.float64(0.9422), 'LGBM': np.float64(0.9434), 'XGB': np.float64(0.9431), 'RF': np.float64(0.9339), 'HGBR': np.float64(0.9418)}",53.7
MILK,7739,114,RF,0.5682,0.5702,0.0669,0.6593,STACK,"{'GBR': np.float64(0.5646), 'LGBM': np.float64(0.5598), 'XGB': np.float64(0.56), 'RF': np.float64(0.5682), 'HGBR': np.float64(0.5584)}",96.7
FAT,7739,108,RF,0.7635,0.7634,0.1841,0.8514,RF,"{'GBR': np.float64(0.7611), 'LGBM': np.float64(0.7578), 'XGB': np.float64(0.7567), 'RF': np.float64(0.7635), 'HGBR': np.float64(0.7548)}",85.8
FAT%,7739,96,RF,0.348,0.3496,0.3856,0.6277,STACK,"{'GBR': np.float64(0.3464), 'LGBM': np.float64(0.3333), 'XGB': np.float64(0.3368), 'RF': np.float64(0.348), 'HGBR': np.float64(0.3289)}",98.1
PRO,7739,105,LGBM,0.7693,0.7711,0.0272,0.8251,STACK,"{'GBR': np.float64(0.7686), 'LGBM': np.float64(0.7693), 'XGB': np.float64(0.7658), 'RF': np.float64(0.7661), 'HGBR': np.float64(0.765)}",101.2
PRO%,7739,96,RF,0.2648,0.2642,0.395,0.5644,RF,"{'GBR': np.float64(0.2624), 'LGBM': np.float64(0.2593), 'XGB': np.float64(0.2583), 'RF': np.float64(0.2648), 'HGBR': np.float64(0.247)}",89.2
CFP,3583,101,GBR,0.7479,0.7167,-0.6572,0.7674,GBR,"{'GBR': np.float64(0.7479), 'LGBM': np.float64(0.7414), 'XGB': np.float64(0.7476), 'RF': np.float64(0.7022), 'HGBR': np.float64(0.7286)}",42.6
PL,7739,114,GBR,0.7018,0.7017,-0.2383,0.7236,GBR,"{'GBR': np.float64(0.7018), 'LGBM': np.float64(0.6997), 'XGB': np.float64(0.6984), 'RF': np.float64(0.6958), 'HGBR': np.float64(0.6986)}",91.9
LIV,7739,99,RF,0.3511,0.355,0.325,0.5774,STACK,"{'GBR': np.float64(0.3473), 'LGBM': np.float64(0.3391), 'XGB': np.float64(0.3422), 'RF': np.float64(0.3511), 'HGBR': np.float64(0.3412)}",94.7
SCS,7739,105,GBR,0.9497,0.9501,-55.667,0.5417,STACK,"{'GBR': np.float64(0.9497), 'LGBM': np.float64(0.9494), 'XGB': np.float64(0.9496), 'RF': np.float64(0.9494), 'HGBR': np.float64(0.9495)}",87.9
MAST,7739,108,RF,0.2882,0.2922,0.3052,0.5306,STACK,"{'GBR': np.float64(0.287), 'LGBM': np.float64(0.2774), 'XGB': np.float64(0.2767), 'RF': np.float64(0.2882), 'HGBR': np.float64(0.2741)}",98.9
MET,1611,107,GBR,0.9982,0.9981,-421.2592,0.3512,GBR,"{'GBR': np.float64(0.9982), 'LGBM': np.float64(0.9976), 'XGB': np.float64(0.9973), 'RF': np.float64(0.9968), 'HGBR': np.float64(0.9974)}",18.3
RP,1611,104,LGBM,0.9978,0.9971,-1659.4825,-2.2593,LGBM,"{'GBR': np.float64(0.9977), 'LGBM': np.float64(0.9978), 'XGB': np.float64(0.9969), 'RF': np.float64(0.9971), 'HGBR': np.float64(0.9977)}",13.1
DA,1611,107,LGBM,0.9982,0.9979,-1154.4249,-0.7623,LGBM,"{'GBR': np.float64(0.9978), 'LGBM': np.float64(0.9982), 'XGB': np.float64(0.9948), 'RF': np.float64(0.9968), 'HGBR': np.float64(0.998)}",14.0
KET,1611,104,HGBR,0.9974,0.9977,-397.2473,0.2459,STACK,"{'GBR': np.float64(0.997), 'LGBM': np.float64(0.997), 'XGB': np.float64(0.9964), 'RF': np.float64(0.9956), 'HGBR': np.float64(0.9974)}",18.7
MF,1611,101,GBR,0.9993,0.9983,-26509.7642,-14.6984,GBR,"{'GBR': np.float64(0.9993), 'LGBM': np.float64(0.9988), 'XGB': np.float64(0.9969), 'RF': np.float64(0.9962), 'HGBR': np.float64(0.999)}",17.3
DPR,7739,114,RF,0.3785,0.3802,0.1809,0.5139,STACK,"{'GBR': np.float64(0.3706), 'LGBM': np.float64(0.3651), 'XGB': np.float64(0.3663), 'RF': np.float64(0.3785), 'HGBR': np.float64(0.3606)}",112.7
HCR,3583,103,RF,0.4093,0.4085,-0.0392,0.4552,RF,"{'GBR': np.float64(0.3984), 'LGBM': np.float64(0.396), 'XGB': np.float64(0.3975), 'RF': np.float64(0.4093), 'HGBR': np.float64(0.3866)}",36.1
CCR,7739,105,RF,0.358,0.3626,0.2256,0.5074,STACK,"{'GBR': np.float64(0.3563), 'LGBM': np.float64(0.3522), 'XGB': np.float64(0.3505), 'RF': np.float64(0.358), 'HGBR': np.float64(0.35)}",119.9
SCE,3583,100,XGB,0.6878,0.6863,-2.2983,0.5657,XGB,"{'GBR': np.float64(0.6799), 'LGBM': np.float64(0.6809), 'XGB': np.float64(0.6878), 'RF': np.float64(0.669), 'HGBR': np.float64(0.6691)}",31.7
DCE,3583,104,XGB,0.7435,0.7433,-3.8252,0.3603,XGB,"{'GBR': np.float64(0.7324), 'LGBM': np.float64(0.7399), 'XGB': np.float64(0.7435), 'RF': np.float64(0.7347), 'HGBR': np.float64(0.7312)}",33.8
SSB,3583,104,XGB,0.8794,0.8777,-12.9321,0.5508,XGB,"{'GBR': np.float64(0.8713), 'LGBM': np.float64(0.8761), 'XGB': np.float64(0.8794), 'RF': np.float64(0.8619), 'HGBR': np.float64(0.869)}",32.8
DSB,3583,104,XGB,0.8208,0.8215,-5.6473,0.4251,STACK,"{'GBR': np.float64(0.8206), 'LGBM': np.float64(0.8195), 'XGB': np.float64(0.8208), 'RF': np.float64(0.8095), 'HGBR': np.float64(0.8089)}",41.8
FI,958,89,GBR,0.9945,0.9948,-11028.7673,-47.8447,STACK,"{'GBR': np.float64(0.9945), 'LGBM': np.float64(0.9938), 'XGB': np.float64(0.9938), 'RF': np.float64(0.9916), 'HGBR': np.float64(0.9915)}",9.3
GFI,1972,84,HGBR,0.4495,0.4638,-41.9339,0.4843,STACK,"{'GBR': np.float64(0.446), 'LGBM': np.float64(0.4394), 'XGB': np.float64(0.4163), 'RF': np.float64(0.3138), 'HGBR': np.float64(0.4495)}",11.5
PTAT,6781,106,XGB,0.5047,0.5053,0.4425,0.7265,STACK,"{'GBR': np.float64(0.4918), 'LGBM': np.float64(0.5008), 'XGB': np.float64(0.5047), 'RF': np.float64(0.4926), 'HGBR': np.float64(0.4944)}",61.8
UDC,6781,112,GBR,0.5999,0.5986,-0.1095,0.5699,GBR,"{'GBR': np.float64(0.5999), 'LGBM': np.float64(0.5937), 'XGB': np.float64(0.5701), 'RF': np.float64(0.5704), 'HGBR': np.float64(0.555)}",84.0
FLC,6781,112,XGB,0.3111,0.3062,0.4974,0.6527,XGB,"{'GBR': np.float64(0.3049), 'LGBM': np.float64(0.3004), 'XGB': np.float64(0.3111), 'RF': np.float64(0.3108), 'HGBR': np.float64(0.2949)}",76.4
STA,4809,109,RF,0.4207,0.4254,0.2111,0.5655,STACK,"{'GBR': np.float64(0.4083), 'LGBM': np.float64(0.4), 'XGB': np.float64(0.4107), 'RF': np.float64(0.4207), 'HGBR': np.float64(0.3932)}",83.4
STR,4809,103,RF,0.4944,0.4998,-0.0446,0.5598,STACK,"{'GBR': np.float64(0.4895), 'LGBM': np.float64(0.4765), 'XGB': np.float64(0.4825), 'RF': np.float64(0.4944), 'HGBR': np.float64(0.4704)}",89.1
DFM,1611,101,RF,0.497,0.5006,-0.2141,0.479,STACK,"{'GBR': np.float64(0.4948), 'LGBM': np.float64(0.4515), 'XGB': np.float64(0.4546), 'RF': np.float64(0.497), 'HGBR': np.float64(0.4711)}",28.4
BOD,1611,104,RF,0.6319,0.63,-0.3456,0.6091,RF,"{'GBR': np.float64(0.6175), 'LGBM': np.float64(0.6222), 'XGB': np.float64(0.6311), 'RF': np.float64(0.6319), 'HGBR': np.float64(0.5985)}",23.0
