sirename,damreg,d_TPI,s_TPI,m_TPI,pa_TPI,d_NM$,s_NM$,m_NM$,pa_NM$,d_CM$,s_CM$,m_CM$,pa_CM$,d_MILK,s_MILK,m_MILK,pa_MILK,d_FAT,s_FAT,m_FAT,pa_FAT,d_FAT%,s_FAT%,m_FAT%,pa_FAT%,d_PRO,s_PRO,m_PRO,pa_PRO,d_PRO%,s_PRO%,m_PRO%,pa_PRO%,d_CFP,s_CFP,m_CFP,pa_CFP,d_PL,s_PL,m_PL,pa_PL,d_SCS,s_SCS,m_SCS,pa_SCS,d_DPR,s_DPR,m_DPR,pa_DPR,d_LIV,s_LIV,m_LIV,pa_LIV,d_FI,s_FI,m_FI,pa_FI,d_HCR,s_HCR,m_HCR,pa_HCR,d_CCR,s_CCR,m_CCR,pa_CCR,d_MAST,s_MAST,m_MAST,pa_MAST,d_FSAV,s_FSAV,m_FSAV,pa_FSAV,d_PTAT,s_PTAT,m_PTAT,pa_PTAT,d_UDC,s_UDC,m_UDC,pa_UDC,d_FLC,s_FLC,m_FLC,pa_FLC,d_SCE,s_SCE,m_SCE,pa_SCE,d_DCE,s_DCE,m_DCE,pa_DCE,d_SSB,s_SSB,m_SSB,pa_SSB,d_DSB,s_DSB,m_DSB,pa_DSB,d_HHP$,s_HHP$,d_GFI,s_GFI
OCD THORSON RIPCORD-ET,HOBRAC4385A117952,3518.0,3450.0,3284.0,3367.0,1244.0,1191.0,890.0,1040.5,1284.0,1219.0,923.0,1071.0,1283.0,1511.0,831.0,1171.0,128.0,124.0,105.0,114.5,0.27,0.22,0.26,0.24,66.0,64.0,49.0,56.5,0.09,0.05,0.08,0.065,194.0,188.0,154.0,171.0,5.2,4.2,3.3,3.75,2.93,2.95,2.99,2.97,-0.1,-0.8,-0.3,-0.55,1.6,1.5,0.9,1.2,1.6,1.2,0.8,1.0,2.3,3.6,1.4,2.5,1.9,1.2,1.5,1.35,0.9,1.1,1.7,1.4,348.0,365.0,114.0,239.5,0.0,0.04,0.43,0.235,0.4,0.48,0.41,0.44499999999999995,-0.49,-1.13,0.39,-0.36999999999999994,1.3,1.1,1.4,1.25,1.8,1.7,1.8,1.75,3.2,3.0,3.6,3.3,3.9,3.7,3.9,3.8,1173.0,1104.0,13.0,13.6
BEYOND HI-PACE-ET,HOBRAC4385A136227,3484.0,3510.0,3263.0,3386.5,1159.0,984.0,1004.0,994.0,1199.0,1023.0,1029.0,1026.0,876.0,1133.0,1019.0,1076.0,133.0,130.0,109.0,119.5,0.36,0.3,0.24,0.27,52.0,59.0,47.0,53.0,0.09,0.08,0.05,0.065,185.0,189.0,156.0,172.5,5.3,4.4,4.2,4.300000000000001,2.82,2.83,2.91,2.87,0.1,-0.6,-0.5,-0.55,1.7,-0.6,1.9,0.6499999999999999,1.2,0.2,1.1,0.65,1.4,0.6,1.9,1.25,1.2,0.4,1.3,0.8500000000000001,2.5,1.6,1.9,1.75,170.0,-126.0,202.0,38.0,0.66,1.7,-0.34,0.6799999999999999,0.52,1.0,0.27,0.635,0.05,0.93,-1.15,-0.10999999999999993,1.2,1.8,1.1,1.4500000000000002,2.1,1.9,1.7,1.7999999999999998,3.1,3.8,3.2,3.5,4.7,4.8,4.0,4.4,1164.0,1100.0,13.2,12.1
BEYOND SHPSTR GOLLEY-ET,HOBRAC1190A147488,3411.0,3511.0,3126.0,3318.5,1075.0,1026.0,826.0,926.0,1116.0,1073.0,867.0,970.0,838.0,876.0,749.0,812.5,133.0,145.0,104.0,124.5,0.36,0.4,0.27,0.335,51.0,57.0,51.0,54.0,0.09,0.1,0.1,0.1,184.0,202.0,155.0,178.5,4.3,3.8,2.3,3.05,2.79,2.82,2.93,2.875,-1.4,-1.2,-1.9,-1.5499999999999998,2.1,-0.7,-0.1,-0.39999999999999997,0.3,-0.1,-0.4,-0.25,3.0,1.2,1.3,1.25,0.2,-0.1,-1.0,-0.55,3.8,2.3,2.0,2.15,28.0,-125.0,71.0,-27.0,0.43,1.62,-0.41,0.6050000000000001,0.25,0.85,-0.51,0.16999999999999998,-0.24,0.37,-1.21,-0.42,1.5,1.8,1.2,1.5,1.6,1.9,1.1,1.5,3.9,5.0,3.8,4.4,4.0,4.5,3.5,4.0,1152.0,1160.0,12.7,12.7
S-S-I SHEEPSTER MICAN-ET,HOBRAC4401A149962,3440.0,3494.0,3255.0,3374.5,1072.0,1039.0,1068.0,1053.5,1122.0,1078.0,1105.0,1091.5,925.0,1443.0,899.0,1171.0,129.0,110.0,120.0,115.0,0.33,0.18,0.3,0.24,63.0,68.0,53.0,60.5,0.12,0.07,0.09,0.08,192.0,178.0,173.0,175.5,4.6,5.0,4.8,4.9,2.94,2.82,2.99,2.9050000000000002,0.1,-0.8,0.0,-0.4,0.0,-0.3,2.1,0.9,1.4,0.3,1.4,0.85,1.9,0.4,2.3,1.3499999999999999,1.5,0.7,1.3,1.0,2.1,1.4,1.6,1.5,44.0,118.0,169.0,143.5,0.21,1.22,-1.03,0.09499999999999997,-0.15,1.01,-0.98,0.015000000000000013,-0.36,0.19,-1.31,-0.56,1.3,1.5,1.2,1.35,2.1,1.9,1.7,1.7999999999999998,4.0,3.9,3.7,3.8,4.3,4.9,4.0,4.45,1127.0,1074.0,12.7,12.9
S-S-I SHEEPSTER MICAN-ET,HOBRAC4401A149962,3424.0,3494.0,3255.0,3374.5,1115.0,1039.0,1068.0,1053.5,1151.0,1078.0,1105.0,1091.5,1336.0,1443.0,899.0,1171.0,124.0,110.0,120.0,115.0,0.25,0.18,0.3,0.24,65.0,68.0,53.0,60.5,0.08,0.07,0.09,0.08,189.0,178.0,173.0,175.5,5.1,5.0,4.8,4.9,2.94,2.82,2.99,2.9050000000000002,-0.4,-0.8,0.0,-0.4,0.9,-0.3,2.1,0.9,1.3,0.3,1.4,0.85,2.2,0.4,2.3,1.3499999999999999,1.7,0.7,1.3,1.0,0.8,1.4,1.6,1.5,123.0,118.0,169.0,143.5,-0.18,1.22,-1.03,0.09499999999999997,-0.31,1.01,-0.98,0.015000000000000013,-0.21,0.19,-1.31,-0.56,1.0,1.5,1.2,1.35,1.9,1.9,1.7,1.7999999999999998,3.8,3.9,3.7,3.8,4.6,4.9,4.0,4.45,1120.0,1074.0,13.0,12.9
S-S-I SHEEPSTER MICAN-ET,HOBRAC4401A140147,3451.0,3494.0,3232.0,3363.0,1185.0,1039.0,1070.0,1054.5,1212.0,1078.0,1097.0,1087.5,1521.0,1443.0,1185.0,1314.0,113.0,110.0,124.0,117.0,0.18,0.18,0.27,0.225,63.0,68.0,56.0,62.0,0.05,0.07,0.06,0.065,176.0,178.0,180.0,179.0,6.2,5.0,4.0,4.5,2.88,2.82,3.08,2.95,-0.9,-0.8,-2.1,-1.4500000000000002,1.6,-0.3,0.4,0.05000000000000002,0.6,0.3,-0.3,0.0,1.3,0.4,2.6,1.5,0.9,0.7,-0.2,0.24999999999999997,3.0,1.4,0.0,0.7,329.0,118.0,284.0,201.0,0.16,1.22,-0.91,0.15499999999999997,0.55,1.01,-0.12,0.445,-0.34,0.19,-1.31,-0.56,0.9,1.5,1.1,1.3,1.8,1.9,1.5,1.7,3.2,3.9,3.2,3.55,4.5,4.9,3.7,4.300000000000001,1117.0,1074.0,13.0,12.9
S-S-I SHEEPSTER MICAN-ET,HOBRAC4401A149962,3377.0,3494.0,3255.0,3374.5,1103.0,1039.0,1068.0,1053.5,1144.0,1078.0,1105.0,1091.5,1018.0,1443.0,899.0,1171.0,122.0,110.0,120.0,115.0,0.29,0.18,0.3,0.24,59.0,68.0,53.0,60.5,0.09,0.07,0.09,0.08,181.0,178.0,173.0,175.5,5.3,5.0,4.8,4.9,2.9,2.82,2.99,2.9050000000000002,0.3,-0.8,0.0,-0.4,2.8,-0.3,2.1,0.9,1.1,0.3,1.4,0.85,0.8,0.4,2.3,1.3499999999999999,1.2,0.7,1.3,1.0,0.9,1.4,1.6,1.5,85.0,118.0,169.0,143.5,-0.36,1.22,-1.03,0.09499999999999997,-0.25,1.01,-0.98,0.015000000000000013,-0.76,0.19,-1.31,-0.56,1.2,1.5,1.2,1.35,1.9,1.9,1.7,1.7999999999999998,3.8,3.9,3.7,3.8,4.5,4.9,4.0,4.45,1116.0,1074.0,12.5,12.9
S-S-I SHEEPSTER MICAN-ET,HOBRA00C37A143776,3396.0,3494.0,3120.0,3307.0,1078.0,1039.0,921.0,980.0,1108.0,1078.0,932.0,1005.0,1333.0,1443.0,1479.0,1461.0,118.0,110.0,103.0,106.5,0.23,0.18,0.15,0.16499999999999998,58.0,68.0,52.0,60.0,0.05,0.07,0.01,0.04,176.0,178.0,155.0,166.5,4.5,5.0,2.5,3.75,2.78,2.82,3.0,2.91,-0.1,-0.8,-1.6,-1.2000000000000002,1.1,-0.3,1.0,0.35,1.1,0.3,-0.2,0.04999999999999999,1.9,0.4,1.8,1.1,1.6,0.7,-0.1,0.3,2.5,1.4,-0.1,0.6499999999999999,158.0,118.0,297.0,207.5,0.22,1.22,-0.61,0.305,-0.08,1.01,-0.66,0.175,-0.52,0.19,-1.11,-0.4600000000000001,1.2,1.5,1.3,1.4,1.5,1.9,1.4,1.65,3.3,3.9,3.2,3.55,3.5,4.9,3.4,4.15,1111.0,1074.0,12.6,12.9
OCD THORSON DARTH VADER-ET,HOUSA000057793591,3383.0,3401.0,3100.0,3250.5,1139.0,1229.0,744.0,986.5,1160.0,1235.0,761.0,998.0,1456.0,2129.0,821.0,1475.0,127.0,147.0,76.0,111.5,0.24,0.21,0.15,0.18,58.0,70.0,35.0,52.5,0.04,0.0,0.03,0.015,185.0,217.0,111.0,164.0,4.3,3.1,3.4,3.25,2.94,3.11,2.87,2.99,-1.7,-3.4,0.2,-1.5999999999999999,0.5,-1.2,1.5,0.15000000000000002,0.3,-1.4,1.4,0.0,2.8,0.7,2.5,1.6,0.4,-2.0,1.7,-0.15000000000000002,2.4,-0.1,1.5,0.7,311.0,400.0,143.0,271.5,0.04,-0.06,-0.1,-0.08,0.11,0.36,0.02,0.19,-0.43,-1.31,0.28,-0.515,0.8,1.2,1.1,1.15,1.5,1.5,1.3,1.4,3.0,3.4,3.5,3.45,4.0,3.8,3.3,3.55,1100.0,1022.0,12.2,13.3
BEYOND SHPSTR GOLLEY-ET,HOBRAC1190A164215,3423.0,3511.0,3247.0,3379.0,998.0,1026.0,942.0,984.0,1035.0,1073.0,978.0,1025.5,1049.0,876.0,954.0,915.0,119.0,145.0,104.0,124.5,0.28,0.4,0.24,0.32,57.0,57.0,54.0,55.5,0.08,0.1,0.08,0.09,176.0,202.0,158.0,180.0,4.1,3.8,3.9,3.8499999999999996,2.92,2.82,2.98,2.9,-0.6,-1.2,-0.4,-0.8,0.5,-0.7,0.1,-0.3,0.9,-0.1,1.2,0.5499999999999999,2.6,1.2,3.3,2.25,0.6,-0.1,0.8,0.35000000000000003,2.7,2.3,1.6,1.95,17.0,-125.0,142.0,8.5,0.73,1.62,-0.53,0.545,0.47,0.85,-0.26,0.295,0.08,0.37,-0.91,-0.27,1.4,1.8,0.9,1.35,1.4,1.9,1.2,1.5499999999999998,4.3,5.0,3.5,4.25,4.1,4.5,3.8,4.15,1097.0,1160.0,13.7,12.7
