Trait,N,N_Features,PA_MAE,PA_R2,V6_MAE,V6_R2,Best,Gain_MAE_%,Gain_R2_%
NM$,121790,60,383.8017,-11.2775,33.9421,0.8182,LGBM,91.16,107.25
CM$,121790,60,396.1155,-11.2065,35.9393,0.8113,LGBM,90.93,107.24
FM$,121790,59,355.5954,-10.0538,35.552,0.7913,LGBM,90.0,107.87
GM$,121790,59,370.4121,-10.5448,35.5288,0.8001,LGBM,90.41,107.59
MILK,121777,65,456.2119,-0.3499,207.491,0.6321,LGBM,54.52,280.64
FAT,121777,62,40.4869,-4.2934,7.0445,0.7277,LGBM,82.6,116.95
PRO,121777,62,19.7522,-2.7124,4.5366,0.6854,LGBM,77.03,125.27
PL,121777,63,1.6501,-2.1814,0.456,0.6252,LGBM,72.37,128.66
SCS,121777,62,1.4416,-141.3454,0.053,0.6324,LGBM,96.32,100.45
DPR,121777,64,0.9117,0.0229,0.5248,0.5962,LGBM,42.44,2507.07
HCR,121777,59,0.8642,0.1895,0.5307,0.6211,LGBM,38.59,227.74
CCR,121777,61,0.927,0.2261,0.5995,0.5998,LGBM,35.33,165.35
LIV,121777,60,1.0499,0.1918,0.6381,0.6303,LGBM,39.23,228.53
MAST,121777,60,1.0466,0.0187,0.5945,0.6054,LGBM,43.19,3144.33
MET,121777,59,0.6571,-0.4834,0.2761,0.6445,LGBM,57.99,233.34
KET,121777,59,0.4363,0.5198,0.2849,0.7493,LGBM,34.69,44.14
DA,121777,59,0.2356,0.447,0.1495,0.7205,LGBM,36.54,61.18
MF,121777,59,0.0677,0.1879,0.0427,0.5932,LGBM,36.93,215.76
RP,121777,59,0.3023,0.362,0.2044,0.6473,LGBM,32.39,78.81
FSAV,121777,59,121.8071,-0.2189,55.9548,0.6626,LGBM,54.06,402.67
RFI,121777,59,53.5985,0.1821,32.9869,0.6132,LGBM,38.46,236.81
EFC,121777,59,1.6944,-0.3539,0.7893,0.6127,LGBM,53.42,273.15
HLIV,121777,59,0.2786,0.1944,0.1775,0.5985,LGBM,36.29,207.82
GL,121777,59,0.7249,0.1889,0.4476,0.6176,LGBM,38.25,226.86
