Trait,N,Features,PA_R2,V5_R2,V5_MAE,V7_R2,V7_MAE,V5_vs_PA_%,V7_vs_PA_%,V7_vs_V5_%
TPI,1709,71,0.924,0.9584,36.6437,0.8775,66.3388,34.33,-18.89,-81.04
NM$,1709,87,0.9523,0.9701,47.8191,0.6028,126.6404,28.25,-90.03,-164.83
CM$,1709,86,0.9503,0.9692,49.3294,0.4855,142.8439,28.92,-105.84,-189.57
MILK,1709,93,0.7844,0.8147,192.9619,0.7747,224.0941,14.14,0.28,-16.13
FAT,1709,88,0.9346,0.9489,7.2463,0.9098,9.8439,16.61,-13.28,-35.85
FAT%,1709,70,0.7543,0.7887,0.0419,0.7545,0.0474,12.21,0.66,-13.15
PRO,1709,88,0.8977,0.9194,4.1754,0.8945,5.0386,17.4,0.32,-20.67
PRO%,1709,70,0.6295,0.6819,0.018,0.6338,0.02,10.56,0.48,-11.27
CFP,1709,70,0.943,0.9582,9.2109,0.9374,11.8405,19.82,-3.08,-28.55
PL,1709,91,0.7929,0.8281,0.5102,0.4363,0.7817,14.44,-31.1,-53.22
SCS,1709,88,0.6008,0.7015,0.0498,0.6441,0.058,19.78,6.65,-16.37
DPR,1709,91,0.7103,0.7652,0.5169,0.7167,0.5931,15.09,2.59,-14.73
LIV,1709,86,0.7682,0.8045,0.6398,0.7433,0.7443,12.66,-1.61,-16.34
FI,1709,71,0.6987,0.7592,0.4937,0.7172,0.5528,14.9,4.72,-11.96
HCR,1709,85,0.633,0.7261,0.5087,0.6874,0.5601,17.52,9.19,-10.1
CCR,1709,88,0.7024,0.758,0.6136,0.7088,0.7006,14.03,1.85,-14.17
MAST,1709,86,0.4968,0.6423,0.5635,0.4824,0.7154,21.93,0.9,-26.95
FSAV,1709,85,0.8404,0.8676,56.6642,0.8428,64.1042,14.81,3.63,-13.13
PTAT,1709,73,0.8898,0.9177,0.2056,0.9069,0.2301,19.96,10.44,-11.89
UDC,1709,73,0.8067,0.8315,0.1962,0.8145,0.2128,10.99,3.45,-8.46
FLC,1709,71,0.9078,0.9235,0.1681,0.9099,0.1875,13.26,3.26,-11.53
SCE,1709,71,0.7126,0.8248,0.1044,0.7182,0.1293,28.21,11.1,-23.84
DCE,1709,71,0.58,0.6583,0.1526,0.61,0.1687,14.99,6.06,-10.5
SSB,1709,71,0.7733,0.8222,0.1291,0.7791,0.1523,16.71,1.76,-17.95
DSB,1709,71,0.6767,0.753,0.2579,0.6962,0.3012,19.51,5.99,-16.79
