Trait,N,Features,Model,PA_R2,V9_R2,PA_MAE,V9_MAE,MAE_Gain,Corr_PA,Corr_V9
TPI,3048,65,GBR,-9.132,0.8935,883.33,76.13,91.4,0.4083,0.9458
MILK,3164,71,GBR,0.5282,0.5412,331.44,325.77,1.7,0.7301,0.7394
FAT,3164,68,GBR,0.752,0.8297,14.98,12.44,17.0,0.8901,0.9115
FAT%,3050,65,GBR,0.5651,0.5528,0.07,0.07,0.0,0.7554,0.7479
PRO,3164,68,LGBM,0.7049,0.7846,8.86,7.42,16.2,0.8621,0.8869
PRO%,3050,65,GBR,0.5172,0.5128,0.03,0.03,-1.1,0.723,0.7215
PL,3050,69,LGBM,0.5865,0.6495,0.88,0.8,9.7,0.7899,0.8089
SCS,3164,68,GBR,-46.6533,0.5529,1.03,0.08,91.8,0.3215,0.7476
DPR,3164,71,LGBM,0.4647,0.4707,0.83,0.82,0.2,0.6859,0.6926
LIV,3164,66,GBR,0.5075,0.4869,1.0,1.02,-2.0,0.7197,0.7036
FI,3050,66,LGBM,0.413,0.3833,0.8,0.81,-1.8,0.6469,0.634
CCR,3164,67,GBR,0.4474,0.4306,0.95,0.96,-1.2,0.6716,0.6629
PTAT,3048,67,XGB,0.5476,0.5942,0.36,0.34,5.4,0.7662,0.7743
UDC,3048,66,GBR,0.4853,0.5951,0.35,0.31,10.6,0.7394,0.7746
FLC,3048,66,LGBM,0.5978,0.561,0.26,0.27,-3.9,0.777,0.7531
MAST,3050,66,LGBM,0.5596,0.5349,0.9,0.93,-3.2,0.7493,0.7369
