ID,BDATE,LACT,NM$,TPI,MILK,FAT,PRO,FAT%,PRO%,PL,DPR,HCR
1148,11/03/2022,0,233,2709,-256,-13,6,-0.01,0.06,2.90,4.30,0.70
1150,21/03/2022,0,153,2592,318,2,8,-0.04,-0.01,1.50,1.70,-1.50
1155,08/04/2022,0,9,2413,39,-30,-5,-0.12,-0.02,1.50,2.80,-0.30
1167,04/06/2022,0,170,2575,-67,17,10,0.08,0.05,0.60,-0.10,0.70
1171,19/06/2022,0,80,2478,1165,5,19,-0.16,-0.07,-0.30,-2.20,-0.60
1175,02/07/2022,0,115,2573,35,14,5,0.05,0.01,0.20,0.10,-0.40
1177,19/07/2022,0,56,2426,-4,-8,1,-0.03,0.00,0.20,0.20,-0.30
1178,31/07/2022,0,-12,2396,780,-25,7,-0.21,-0.07,-0.30,-0.20,-1.30
1179,04/08/2022,0,180,2583,-201,-1,6,0.03,0.05,1.50,2.80,1.00
1182,14/08/2022,0,178,2618,260,-8,8,-0.07,0.00,2.20,1.30,0.00
1192,01/11/2022,0,47,2443,353,-4,3,-0.07,-0.03,0.40,0.70,-0.20
1193,16/11/2022,0,109,2572,69,4,5,0.00,0.01,1.10,0.80,1.20
1204,18/01/2023,0,85,2469,-155,9,-16,0.06,-0.04,1.70,0.10,0.00
1205,18/01/2023,0,-149,2119,-302,-38,-24,-0.10,-0.05,1.20,-1.30,-2.10
1206,07/02/2023,0,82,2443,228,-6,11,-0.06,0.01,-0.40,-0.60,1.30
1208,14/02/2023,0,-218,2173,-253,-27,-2,-0.06,0.02,-0.80,-0.10,-2.30
1213,07/03/2023,0,-9,2479,224,-15,6,-0.09,-0.01,0.40,0.40,0.80
1222,06/04/2023,0,126,2533,-217,11,3,0.08,0.04,0.20,-0.70,-1.90
1233,07/05/2023,0,9,2354,-153,-9,-9,-0.01,-0.02,0.40,-2.40,-0.90
1237,11/05/2023,0,271,2555,510,-2,0,-0.09,-0.06,3.80,0.20,-0.40
1255,02/07/2023,0,36,2558,-430,3,1,0.08,0.06,0.50,1.00,0.20
1260,10/07/2023,0,-59,2317,338,-22,-3,-0.13,-0.05,0.70,0.00,-0.80
1265,31/07/2023,0,55,2385,617,-20,-3,-0.17,-0.09,1.30,-1.30,-0.50
1273,03/10/2023,0,151,2586,228,31,3,0.08,-0.02,0.60,-0.70,-1.40
1283,14/12/2023,0,240,2637,-667,12,-9,0.15,0.05,4.10,2.20,-0.80
1284,16/12/2023,0,147,2443,173,25,8,0.07,0.01,-0.80,-0.70,-0.10
1294,30/01/2024,0,275,2644,516,46,18,0.09,0.00,0.30,-1.50,0.00
1304,22/02/2024,0,349,2842,714,7,18,-0.08,-0.02,2.90,2.40,2.80
1306,25/02/2024,0,316,2652,334,24,12,0.04,0.00,2.50,1.10,0.70
1307,27/02/2024,0,119,2634,415,25,8,0.03,-0.02,1.30,-0.60,-1.10
1309,14/03/2024,0,32,2395,-100,-5,-7,0.00,-0.01,-0.20,1.20,0.50
1313,04/04/2024,0,501,2910,1026,29,29,-0.05,-0.02,3.00,0.20,0.90
1315,06/04/2024,0,80,2510,-98,5,-2,0.03,0.00,1.20,1.10,-2.20
1316,07/04/2024,0,287,2735,669,22,18,-0.02,-0.01,2.50,0.40,0.60
1317,10/04/2024,0,-89,2348,1075,-10,2,-0.20,-0.12,-0.40,-0.80,-1.20
1318,16/04/2024,0,254,2770,1328,6,31,-0.18,-0.05,2.60,0.40,-0.40
1321,22/04/2024,0,523,2982,553,38,26,0.06,0.03,3.70,1.50,1.60
1325,29/04/2024,0,222,2599,815,-3,17,-0.14,-0.04,2.20,-0.10,0.80
1326,05/01/2024,0,295,2683,676,30,20,0.01,-0.01,1.00,-1.20,0.00
1327,03/05/2024,0,127,2583,-56,30,11,0.12,0.05,0.00,-0.80,0.60
