Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Rank_no_Touro;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;PA_MILK;PA_FAT;PA_PROT;PA_SCS;PA_DPR;PA_CCR;PA_PL;PA_LIV;PA_HCR;PA_EFC;PA_HLIV;PA_UDC;PA_FLC;PA_BWC;IC_Low_MILK;IC_High_MILK;IC_Low_FAT;IC_High_FAT;IC_Low_PROT;IC_High_PROT;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina
007HO17686;Commander;3457;1141;1;HOBRAC6735A204260;40;1118;2444;196;668;573;263;883;2950;3.98;-95;100.0;100.0;99.7;0.0;78.2;82.2;553.3;67.4;36.0;3.0;-0.9;1.2;1.2;0.5;1.2;2.0;0.2;-1.0;-0.6;-0.9;-1208.1;2314.8;0.1;134.7;-12.0;84.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;2;HOBRAC6735A204242;22;1200;2606;223;682;587;277;897;3032;3.98;-95;100.0;100.0;99.7;0.0;75.5;82.0;1043.8;58.4;36.0;2.9;-1.6;0.3;2.3;0.2;0.6;2.6;0.3;0.0;0.4;-1.0;-717.6;2805.3;-8.9;125.7;-12.0;84.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;3;HOBRAC6735A204261;41;1121;2552;256;698;603;293;913;3004;3.98;-95;100.0;100.0;99.8;0.0;71.2;81.3;708.3;83.4;38.0;3.0;-1.7;0.6;0.8;0.2;1.7;2.0;0.0;-0.8;-0.5;-0.3;-1053.1;2469.8;16.1;150.7;-10.0;86.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;4;HOBRAC6735A204240;20;1104;2560;215;678;583;273;893;3008;3.98;-95;100.0;100.0;99.7;0.0;78.2;80.9;1083.8;73.9;37.5;3.1;-1.4;1.1;0.8;0.6;0.6;1.6;0.5;-0.4;-0.1;-0.6;-677.6;2845.3;6.6;141.2;-10.5;85.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;5;HOBRAC6735A204225;5;1086;2488;134;638;542;232;852;2972;3.98;-95;100.0;100.0;99.4;0.0;75.1;80.3;914.3;58.9;37.5;3.0;-1.4;1.1;1.8;-0.3;1.2;1.1;0.1;-0.1;-0.6;-1.1;-847.1;2675.8;-8.4;126.2;-10.5;85.5;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;6;HOBRAC6735A204234;14;1186;2704;353;747;652;342;962;3080;3.98;-95;100.0;100.0;99.9;0.0;72.3;80.2;1308.8;65.9;52.5;3.0;-1.9;0.2;1.5;-0.7;1.2;2.2;0.3;-0.4;-0.2;-1.2;-452.6;3070.3;-1.4;133.2;4.5;100.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;7;HOBRAC6735A204241;21;1109;2451;-48;546;451;141;761;2954;3.98;-95;100.0;99.9;97.4;0.0;81.1;79.7;1394.8;42.4;37.0;3.1;-0.2;1.8;1.4;0.0;1.2;2.6;0.6;-0.2;0.2;-0.7;-366.6;3156.3;-24.9;109.7;-11.0;85.0;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;8;HOBRAC6735A204243;23;1102;2610;269;705;610;300;920;3034;3.98;-95;100.0;100.0;99.8;0.0;80.2;79.7;763.8;68.4;31.5;3.0;-0.8;1.5;1.8;0.9;1.5;1.5;0.6;-0.0;-0.1;-0.8;-997.6;2525.3;1.1;135.7;-16.5;79.5;;A2A2xA1A2=50%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;9;HOBRAC6735A204246;26;1083;2256;52;596;501;191;811;2856;3.98;-95;100.0;100.0;98.8;0.0;66.5;78.6;744.3;53.4;31.5;3.1;-1.7;0.6;0.6;-0.6;0.8;1.6;0.6;-0.7;-0.3;-1.4;-1017.1;2505.8;-13.9;120.7;-16.5;79.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;10;HOBRAC6735A204256;36;1169;2158;-124;508;413;103;723;2808;3.98;-95;100.0;99.8;95.6;0.0;70.6;78.2;949.3;34.4;34.0;3.1;-1.2;0.6;1.3;0.1;-0.3;1.6;0.2;-0.7;-0.5;-1.1;-812.1;2710.8;-32.9;101.7;-14.0;82.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB
