Rank;Tipo;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_Num;Produto_Num;Pai_da_Femea;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;HHP$;NM$_IC_Lower;NM$_IC_Upper;Delta_NM$_sobre_Mae;TPI_PA;TPI_Corrigido;TPI_IC_Lower;TPI_IC_Upper;Delta_TPI_sobre_Mae;DSII;Score_Final_v3;F_Esperada_%;Depressão_$;Penalidade_Crítica;Penalidade_Antagonismo;Bônus_Dominância;Distância_Ideal;P_Acima_Média_%;P_Top25_%;P_Top10_%;PA_MILK;DeltaG_MILK;PA_FAT;DeltaG_FAT;PA_PROT;DeltaG_PROT;PA_SCS;DeltaG_SCS;PA_DPR;DeltaG_DPR;PA_CCR;DeltaG_CCR;PA_PL;DeltaG_PL;PA_LIV;DeltaG_LIV;PA_HCR;DeltaG_HCR;PA_EFC;DeltaG_EFC;PA_UDC;DeltaG_UDC;PA_FLC;DeltaG_FLC;PA_BWC;DeltaG_BWC;PA_TIPO;DeltaG_TIPO;PA_MF;DeltaG_MF;PA_DA;DeltaG_DA;PA_KET;DeltaG_KET;PA_MAST;DeltaG_MAST;PA_MET;DeltaG_MET;PA_RP;DeltaG_RP;PA_SCE;DeltaG_SCE;PA_STA;DeltaG_STA;PA_STR;DeltaG_STR;PA_BD;DeltaG_BD;PA_DF;DeltaG_DF;PA_RA;DeltaG_RA;PA_TW;DeltaG_TW;PA_RLS;DeltaG_RLS;PA_RLR;DeltaG_RLR;PA_FA;DeltaG_FA;PA_FLS;DeltaG_FLS;PA_FUA;DeltaG_FUA;PA_RUH;DeltaG_RUH;PA_RUW;DeltaG_RUW;PA_UC;DeltaG_UC;PA_UD;DeltaG_UD;PA_FTP;DeltaG_FTP;PA_RTP;DeltaG_RTP;PA_TL;DeltaG_TL
1;Embrião;551HO06183;Expresso;3157;477;1449;1008;HO840003147118759;2873;482;480;323;387;-118;764;-159;3015;2890;2489;3291;17;227.8;60.3;6.25;-156;0.0;2.7;0.34;5.64;90.3;67.7;38.3;1303.88;-48.12;31.75;-22.25;39.88;4.88;2.96;0.03;-1.09;0.71;0.59;0.69;0.36;-1.24;-0.89;-1.29;1.38;-1.12;0.00;68.00;0.86;0.98;0.15;0.12;0.00;0.00;0.75;1.12;-0.10;0.00;0.20;0.10;0.60;0.20;-0.10;1.70;0.75;-0.45;0.05;-0.15;1.30;0.10;0.51;0.87;0.09;0.40;0.28;0.73;0.72;0.96;1.09;0.04;1.03;0.48;0.10;-0.29;0.11;0.21;0.28;0.69;0.29;0.29;0.81;1.30;1.28;1.41;1.38;1.17;0.62;0.70;0.49;0.86;0.43;0.57;0.71;0.75;-0.48;-0.08
2;Embrião;551HO06183;Expresso;3157;477;1405;966;HO840003147118754;2764;390;434;277;329;-164;718;-113;2960;2836;2435;3236;72;218.5;56.1;6.25;-156;0.0;0.0;0.34;6.19;86.3;60.1;30.7;1097.38;158.38;17.25;-7.75;36.38;8.38;2.96;0.04;-0.74;0.36;0.79;0.49;0.41;-1.29;-1.39;-0.79;-0.53;0.78;0.00;68.00;1.25;0.61;0.13;0.14;0.00;0.00;0.76;1.12;-0.10;0.00;0.10;0.20;0.20;0.60;0.35;1.25;-0.20;0.50;-0.70;0.60;1.30;0.10;-0.12;1.50;-0.52;1.00;-0.29;1.29;0.67;1.01;0.33;0.81;0.39;1.12;-0.01;-0.17;-0.07;0.40;0.21;0.76;0.14;0.44;0.95;1.16;1.94;0.76;1.54;1.01;0.66;0.67;0.38;0.97;0.47;0.53;0.90;0.56;-0.07;-0.49
3;Embrião;551HO06183;Expresso;3157;477;1405;930;HO840003147118754;2764;390;434;277;329;-164;718;-113;2960;2836;2435;3236;72;218.5;56.1;6.25;-156;0.0;0.0;0.34;6.19;86.3;60.1;30.7;1097.38;158.38;17.25;-7.75;36.38;8.38;2.96;0.04;-0.74;0.36;0.79;0.49;0.41;-1.29;-1.39;-0.79;-0.53;0.78;0.00;68.00;1.25;0.61;0.13;0.14;0.00;0.00;0.76;1.12;-0.10;0.00;0.10;0.20;0.20;0.60;0.35;1.25;-0.20;0.50;-0.70;0.60;1.30;0.10;-0.12;1.50;-0.52;1.00;-0.29;1.29;0.67;1.01;0.33;0.81;0.39;1.12;-0.01;-0.17;-0.07;0.40;0.21;0.76;0.14;0.44;0.95;1.16;1.94;0.76;1.54;1.01;0.66;0.67;0.38;0.97;0.47;0.53;0.90;0.56;-0.07;-0.49
4;Embrião;551HO06183;Expresso;3157;477;1388;1273;HO840003147118754;2850;493;485;329;412;-112;770;-164;3004;2878;2478;3279;28;90.8;55.0;6.25;-156;0.0;0.0;0.34;5.11;90.7;68.6;39.2;1309.38;-53.62;19.75;-10.25;32.88;11.88;2.91;0.08;0.26;-0.64;1.99;-0.71;1.16;-2.04;-0.49;-1.69;0.93;-0.68;0.00;68.00;0.98;0.88;0.08;0.20;0.00;0.00;0.82;1.05;-0.15;0.05;-0.05;0.35;0.20;0.60;1.95;-0.35;0.50;-0.20;-0.30;0.20;1.30;0.10;0.16;1.21;-0.44;0.93;-0.06;1.07;0.82;0.87;0.40;0.73;0.62;0.89;-0.04;-0.15;-0.15;0.47;0.17;0.80;0.17;0.41;0.85;1.26;1.44;1.25;1.26;1.28;0.71;0.62;0.45;0.90;0.39;0.61;0.72;0.73;-0.46;-0.11
5;Embrião;007HO17379;Drop N Hot;3177;426;1468;1049;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
6;Embrião;007HO17379;Drop N Hot;3177;426;1468;1114;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
7;Embrião;007HO17379;Drop N Hot;3177;426;1468;831;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
8;Embrião;007HO17379;Drop N Hot;3177;426;1468;1234;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
9;Embrião;007HO17379;Drop N Hot;3177;426;1468;1126;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
10;Embrião;007HO17379;Drop N Hot;3177;426;1468;953;HO840003147118759;2744;239;332;176;292;-265;617;-63;2960;2836;2435;3236;92;314.3;50.1;6.25;-156;0.0;0.0;0.34;6.63;74.1;42.3;17.0;1089.38;-590.62;23.75;2.75;31.38;-0.62;2.98;-0.13;-0.64;0.26;0.49;0.19;-0.19;-1.39;-2.79;-1.59;1.43;-1.28;0.00;68.00;1.04;0.75;0.97;0.89;0.00;0.00;1.40;1.20;-0.05;-0.05;0.35;0.05;0.40;-0.30;0.10;3.30;0.35;-0.75;0.05;-0.55;1.70;0.20;0.93;0.73;0.32;0.57;0.36;0.58;0.74;0.45;-0.10;-0.65;1.11;0.69;0.26;0.46;1.18;1.09;0.86;0.80;1.09;0.96;1.29;1.15;1.41;1.13;1.45;0.96;0.66;0.38;0.99;0.54;0.44;0.14;0.60;0.32;-0.11;0.36
