Rank;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina;Casein_Score;PA_MILK;IC_Low_MILK;IC_High_MILK;PA_FAT;IC_Low_FAT;IC_High_FAT;PA_PROT;IC_Low_PROT;IC_High_PROT;PA_SCS;IC_Low_SCS;IC_High_SCS;PA_PL;IC_Low_PL;IC_High_PL;PA_LIV;IC_Low_LIV;IC_High_LIV;PA_DPR;IC_Low_DPR;IC_High_DPR;PA_CCR;IC_Low_CCR;IC_High_CCR;PA_HCR;IC_Low_HCR;IC_High_HCR;PA_EFC;IC_Low_EFC;IC_High_EFC;PA_HLIV;IC_Low_HLIV;IC_High_HLIV;PA_UDC;IC_Low_UDC;IC_High_UDC;PA_FLC;IC_Low_FLC;IC_High_FLC;PA_BWC;IC_Low_BWC;IC_High_BWC
1;007HO17593;Betzold;3422;1043;HOBRAC6735A204260;40;1118;2444;196;620;524;214;834;2933;3.98;-95;100.0;100.0;99.2;0.0;79.4;83.8;;A2A2xA2A2=100%A2A2;BBxBB=100%BB;5;617.3;-1144.1;2378.8;51.4;-15.9;118.7;30.5;-17.5;78.5;2.9;2.6;3.2;1.4;-1.5;4.2;1.6;-0.5;3.6;-0.4;-2.6;1.8;1.8;-0.8;4.4;1.8;-0.7;4.2;3.2;-5.3;11.7;-0.1;-1.5;1.2;-0.9;-2.2;0.4;-0.6;-1.7;0.6;-0.7;-2.3;0.9
2;007HO17593;Betzold;3422;1043;HOBRAC6735A204261;41;1121;2552;256;650;554;244;864;2987;3.98;-95;100.0;100.0;99.5;0.0;77.2;83.6;;A2A2xA2A2=100%A2A2;BBxBB=100%BB;5;772.3;-989.1;2533.8;67.4;0.1;134.7;32.5;-15.5;80.5;2.9;2.6;3.2;1.0;-1.9;3.8;1.3;-0.8;3.4;-1.2;-3.4;1.0;1.1;-1.4;3.7;2.2;-0.2;4.6;3.1;-5.4;11.7;-0.3;-1.7;1.0;-0.7;-2.0;0.6;-0.5;-1.7;0.7;-0.1;-1.8;1.5
3;007HO17593;Betzold;3422;1043;HOBRAC6735A204242;22;1200;2606;223;633;538;228;848;3014;3.98;-95;100.0;100.0;99.4;0.0;73.4;83.1;;A2A2xA2A2=100%A2A2;BBxBB=100%BB;5;1107.8;-653.6;2869.3;42.4;-24.9;109.7;30.5;-17.5;78.5;2.8;2.5;3.1;2.5;-0.3;5.3;1.2;-0.8;3.3;-1.2;-3.3;1.0;0.9;-1.7;3.4;1.1;-1.3;3.5;3.8;-4.8;12.3;-0.0;-1.4;1.3;0.1;-1.2;1.4;0.4;-0.7;1.6;-0.8;-2.4;0.8
4;007HO17593;Betzold;3422;1043;HOBRAC6735A204240;20;1104;2560;215;629;534;224;844;2991;3.98;-95;100.0;100.0;99.3;0.0;79.4;82.5;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;1147.8;-613.6;2909.3;57.9;-9.4;125.2;32.0;-16.0;80.0;3.0;2.7;3.3;1.0;-1.8;3.8;1.7;-0.4;3.8;-0.9;-3.1;1.3;1.6;-1.0;4.2;1.1;-1.3;3.5;2.7;-5.8;11.2;0.1;-1.3;1.5;-0.3;-1.6;1.0;-0.0;-1.2;1.1;-0.4;-2.0;1.2
5;007HO17686;Commander;3457;1141;HOBRAC6735A204260;40;1118;2444;196;668;573;263;883;2950;3.98;-95;100.0;100.0;99.7;0.0;78.2;82.2;;A2A2xA2A2=100%A2A2;AAxBB=100%AB;4;553.3;-1208.1;2314.8;67.4;0.1;134.7;36.0;-12.0;84.0;3.0;2.7;3.3;1.2;-1.7;4.0;0.5;-1.6;2.6;-0.9;-3.0;1.3;1.2;-1.3;3.8;1.2;-1.2;3.7;2.0;-6.5;10.6;0.2;-1.1;1.6;-1.0;-2.2;0.3;-0.6;-1.7;0.6;-0.9;-2.5;0.7
6;007HO17686;Commander;3457;1141;HOBRAC6735A204242;22;1200;2606;223;682;587;277;897;3032;3.98;-95;100.0;100.0;99.7;0.0;75.5;82.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB;4;1043.8;-717.6;2805.3;58.4;-8.9;125.7;36.0;-12.0;84.0;2.9;2.6;3.2;2.3;-0.5;5.1;0.2;-1.9;2.3;-1.6;-3.8;0.6;0.3;-2.3;2.9;0.6;-1.8;3.0;2.6;-5.9;11.1;0.3;-1.0;1.7;0.0;-1.3;1.3;0.4;-0.7;1.6;-1.0;-2.6;0.6
7;007HO17593;Betzold;3422;1043;HOBRAC6735A204234;14;1186;2704;353;698;603;293;913;3063;3.98;-95;100.0;100.0;99.8;0.0;74.1;81.9;;A2A2xA2A2=100%A2A2;BBxAB=50%BB;4;1372.8;-388.6;3134.3;49.9;-17.4;117.2;47.0;-1.0;95.0;2.9;2.6;3.2;1.7;-1.1;4.5;0.4;-1.7;2.5;-1.5;-3.6;0.7;0.8;-1.8;3.4;1.7;-0.7;4.1;3.3;-5.2;11.9;-0.1;-1.5;1.3;-0.3;-1.6;1.0;-0.2;-1.3;1.0;-1.0;-2.6;0.6
8;007HO17593;Betzold;3422;1043;HOBRAC6735A204225;5;1086;2488;134;588;493;183;803;2955;3.98;-95;100.0;100.0;98.6;0.0;76.4;81.7;;A2A2xA2A2=100%A2A2;BBxAA=100%AB;4;978.3;-783.1;2739.8;42.9;-24.4;110.2;32.0;-16.0;80.0;2.9;2.6;3.2;2.0;-0.9;4.8;0.8;-1.3;2.9;-1.0;-3.1;1.2;1.6;-1.0;4.2;1.7;-0.7;4.1;2.2;-6.3;10.7;-0.2;-1.6;1.1;-0.0;-1.3;1.3;-0.6;-1.8;0.6;-0.9;-2.5;0.8
9;007HO17593;Betzold;3422;1043;HOBRAC6735A204243;23;1102;2610;269;656;561;251;871;3016;3.98;-95;100.0;100.0;99.6;0.0;81.4;81.4;;A2A2xA1A2=50%A2A2;BBxBB=100%BB;3;827.8;-933.6;2589.3;52.4;-14.9;119.7;26.0;-22.0;74.0;2.9;2.6;3.2;2.0;-0.9;4.8;2.0;-0.1;4.1;-0.3;-2.5;1.9;2.0;-0.5;4.6;2.0;-0.4;4.4;2.6;-5.9;11.2;0.1;-1.2;1.5;0.1;-1.2;1.4;-0.1;-1.2;1.1;-0.6;-2.2;1.1
10;007HO17686;Commander;3457;1141;HOBRAC6735A204261;41;1121;2552;256;698;603;293;913;3004;3.98;-95;100.0;100.0;99.8;0.0;71.2;81.3;;A2A2xA2A2=100%A2A2;AAxBB=100%AB;4;708.3;-1053.1;2469.8;83.4;16.1;150.7;38.0;-10.0;86.0;3.0;2.7;3.3;0.8;-2.1;3.6;0.2;-1.8;2.3;-1.7;-3.8;0.5;0.6;-2.0;3.2;1.7;-0.7;4.1;2.0;-6.5;10.5;0.0;-1.3;1.4;-0.8;-2.1;0.5;-0.5;-1.7;0.7;-0.3;-2.0;1.3
