Rank_v3;Rank_PA_Simples;Diferenca_Ranking;Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;Delta_NM$_sobre_Mae;TPI_PA;TPI_Corrigido;TPI_IC_Lower;TPI_IC_Upper;Delta_TPI_sobre_Mae;DSII;Score_Final_v3;F_Esperada_%;Depressao_$;Penalidade_Critica;Penalidade_Antagonismo;Bonus_Dominancia;Distancia_Ideal;P_Acima_Media_%;P_Top25_%;P_Top10_%;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina;Pai_da_Vaca;PA_MILK;DeltaG_MILK;PA_FAT;DeltaG_FAT;PA_PROT;DeltaG_PROT;PA_SCS;DeltaG_SCS;PA_DPR;DeltaG_DPR;PA_CCR;DeltaG_CCR;PA_PL;DeltaG_PL;PA_LIV;DeltaG_LIV;PA_HCR;DeltaG_HCR;PA_EFC;DeltaG_EFC;PA_HLIV;DeltaG_HLIV;PA_UDC;DeltaG_UDC;PA_FLC;DeltaG_FLC;PA_BWC;DeltaG_BWC;PA_MF;DeltaG_MF;PA_DA;DeltaG_DA;PA_KET;DeltaG_KET;PA_MAST;DeltaG_MAST;PA_MET;DeltaG_MET;PA_RP;DeltaG_RP;PA_SCE;DeltaG_SCE;PA_STA;DeltaG_STA;PA_STR;DeltaG_STR;PA_BD;DeltaG_BD;PA_DF;DeltaG_DF;PA_RA;DeltaG_RA;PA_TW;DeltaG_TW;PA_RLS;DeltaG_RLS;PA_RLR;DeltaG_RLR;PA_FA;DeltaG_FA;PA_FLS;DeltaG_FLS;PA_FUA;DeltaG_FUA;PA_RUH;DeltaG_RUH;PA_RUW;DeltaG_RUW;PA_UC;DeltaG_UC;PA_UD;DeltaG_UD;PA_FTP;DeltaG_FTP;PA_RTP;DeltaG_RTP;PA_TL;DeltaG_TL
1;82;81;007HO17593;Betzold;3422;1043;HOBRAC6735A204265;45;1123;2232;-168;438;334;-110;778;502;2827;2744;2340;3148;512;1212.0;72.7;4.13;-103;0.0;0.0;0.16;5.03;99.4;94.8;79.9;;A2A2xA2A2=100%A2;BBxAA=100%AB;Mosaic;1278.15;637.15;28.87;56.87;29.28;28.28;3.03;-0.18;-0.42;-0.72;0.60;0.50;0.15;0.85;-0.17;-0.07;0.42;2.12;2.20;2.60;-0.20;-0.10;-0.13;0.56;-0.06;0.28;-1.02;-0.18;-0.10;0.00;0.10;0.20;0.30;0.70;-0.60;2.30;0.85;1.05;-0.25;0.35;1.35;-0.05;-0.54;0.77;-0.68;0.16;-0.40;0.38;0.74;1.15;-0.18;0.22;-0.16;0.26;1.14;0.83;-0.25;0.30;-0.77;0.07;-0.04;0.52;-0.51;0.72;-0.14;0.61;0.21;1.02;0.35;0.39;-0.82;0.74;-0.05;0.30;0.30;0.11;-0.27;-0.42
7;155;148;007HO17593;Betzold;3422;1043;HOBRAC6735A204263;43;1122;2027;-419;312;209;-236;653;628;2724;2642;2238;3046;615;1462.8;68.3;4.13;-103;0.0;5.3;0.16;6.35;97.5;85.9;61.3;;A2A2xA1A2=50%A2;BBxBB=100%BB;Altabluedevil;1270.65;644.65;20.87;64.87;28.28;29.28;3.12;-0.26;-1.22;0.08;-0.35;1.45;-0.90;1.90;-1.27;1.03;1.07;1.47;1.00;3.80;-0.60;0.30;-0.14;0.57;-0.36;0.58;-0.57;-0.62;0.00;-0.10;0.10;0.20;0.60;0.40;-0.80;2.50;1.05;0.85;0.65;-0.55;1.30;0.00;-0.34;0.56;-0.21;-0.31;-0.05;0.03;0.69;1.20;0.12;-0.10;-0.11;0.20;1.21;0.76;-0.58;0.64;-0.92;0.21;-0.26;0.74;-0.07;0.28;-0.33;0.81;0.27;0.96;-0.22;0.96;-0.51;0.44;-0.05;0.30;-0.15;0.55;-0.40;-0.28
8;24;16;007HO17593;Betzold;3422;1043;HOBRAC6735A204225;5;1086;2488;134;588;485;41;929;351;2955;2872;2468;3276;384;765.8;68.0;4.13;-103;0.0;0.0;0.16;5.28;99.9;98.9;93.4;;A2A2xA2A2=100%A2;BBxAA=100%AB;Fulham;978.15;937.15;44.37;41.37;32.78;24.78;2.88;-0.02;-0.12;-1.02;1.50;-0.40;1.55;-0.55;0.18;-0.42;1.62;0.92;2.20;2.60;-0.25;-0.05;-0.04;0.47;-0.60;0.82;-0.85;-0.34;0.05;-0.15;0.05;0.25;0.25;0.75;1.25;0.45;1.55;0.35;0.10;0.00;1.40;-0.10;-0.49;0.72;-0.69;0.17;-0.55;0.53;0.33;1.56;-0.03;0.06;-0.27;0.36;1.39;0.58;-0.97;1.02;-1.23;0.51;-0.47;0.95;-0.41;0.62;-0.15;0.62;0.26;0.97;0.25;0.49;-0.40;0.33;-0.03;0.28;0.17;0.24;-0.56;-0.13
9;52;43;007HO17593;Betzold;3422;1043;HOBRAC6735A204241;21;1109;2451;-48;498;394;-50;838;442;2936;2854;2450;3258;403;783.8;68.0;4.13;-103;0.0;0.0;0.16;4.43;99.7;97.1;86.5;;A2A2xA2A2=100%A2;BBxAB=50%BB;Mosaic;1458.65;456.65;27.87;57.87;32.28;25.28;2.97;-0.11;1.13;-2.27;2.20;-1.10;1.20;-0.20;0.43;-0.67;1.62;0.92;3.80;1.00;0.20;-0.50;-0.07;0.49;0.17;0.05;-0.44;-0.76;-0.05;-0.05;0.15;0.15;0.60;0.40;-0.30;2.00;0.80;1.10;-0.05;0.15;1.45;-0.15;-0.34;0.57;-0.36;-0.15;-0.43;0.41;0.04;1.84;-0.05;0.08;-0.24;0.33;0.53;1.44;0.02;0.04;-0.26;-0.46;0.20;0.29;-0.24;0.45;-0.08;0.55;0.10;1.12;0.10;0.64;-0.30;0.22;-0.15;0.40;-0.14;0.54;-0.24;-0.45
14;70;56;007HO17593;Betzold;3422;1043;HOBRAC6735A204245;25;1091;2172;-131;456;353;-92;797;484;2797;2714;2310;3118;542;851.1;67.3;4.13;-103;0.0;0.0;0.16;4.84;99.5;95.7;82.2;;A2A2xA2A2=100%A2;BBxAB=50%BB;Mosaic;1249.65;665.65;23.87;61.87;25.78;31.78;3.02;-0.17;0.08;-1.22;0.70;0.40;0.70;0.30;0.08;-0.32;0.37;2.17;1.75;3.05;-0.15;-0.15;-0.19;0.62;-0.17;0.39;-0.81;-0.39;-0.05;-0.05;0.15;0.15;0.55;0.45;-0.50;2.20;0.70;1.20;-0.25;0.35;1.15;0.15;-0.64;0.86;-0.56;0.04;-0.56;0.54;0.19;1.69;0.32;-0.28;-0.70;0.80;0.04;1.94;-0.32;0.38;-0.51;-0.21;-0.16;0.64;-0.49;0.70;-0.11;0.59;0.11;1.11;-0.33;1.07;-0.59;0.52;-0.47;0.72;-0.45;0.85;-0.44;-0.24
15;139;124;007HO17593;Betzold;3422;1043;HOBRAC6735A204249;29;1108;2030;-374;334;231;-213;675;605;2726;2643;2239;3047;613;1095.1;67.2;4.13;-103;0.0;0.0;0.16;5.49;98.0;88.0;65.0;;A2A2xA2A2=100%A2;BBxAA=100%AB;Mosaic;663.15;1252.15;11.87;73.86;15.28;42.28;2.97;-0.11;0.43;-1.57;1.45;-0.35;0.90;0.10;1.13;-1.37;0.42;2.12;-0.15;4.95;-0.15;-0.15;-0.18;0.60;0.08;0.14;-0.55;-0.65;-0.05;-0.05;0.45;-0.15;1.10;-0.10;1.00;0.70;1.05;0.85;-0.05;0.15;1.40;-0.10;-0.39;0.61;-0.56;0.04;-0.56;0.54;-0.11;2.00;0.32;-0.28;-0.36;0.45;0.33;1.64;-0.03;0.08;-0.26;-0.46;0.09;0.39;-0.15;0.35;-0.26;0.74;-0.33;1.56;-0.38;1.12;0.11;-0.18;-0.47;0.72;-0.50;0.90;-0.14;-0.54
16;14;-2;007HO17593;Betzold;3422;1043;HOBRAC6735A204242;22;1200;2606;223;633;530;85;974;307;3014;2931;2527;3335;325;539.0;66.8;4.13;-103;0.0;0.0;0.16;5.17;100.0;99.4;95.6;;A2A2xA2A2=100%A2;BBxBB=100%BB;Rubygold;1107.65;807.65;43.87;41.87;31.28;26.28;2.82;0.04;-0.32;-0.82;0.75;0.35;2.10;-1.10;0.63;-0.87;1.02;1.52;3.75;1.05;-0.05;-0.25;0.13;0.30;0.45;-0.23;-0.79;-0.40;0.00;-0.10;0.20;0.10;0.40;0.60;2.40;-0.70;0.90;1.00;-0.40;0.50;1.25;0.05;-0.77;0.99;-0.59;0.08;-0.73;0.71;0.08;1.81;-0.27;0.30;-0.53;0.62;0.39;1.58;0.31;-0.26;-0.20;-0.51;0.34;0.14;-0.04;0.25;0.01;0.46;0.45;0.77;-0.03;0.77;-0.24;0.17;-0.22;0.47;-0.22;0.62;-0.98;0.30
17;15;-2;007HO17593;Betzold;3422;1043;HOBRAC6735A204240;20;1104;2560;215;629;526;81;970;311;2991;2908;2504;3312;348;587.3;66.8;4.13;-103;0.0;0.0;0.16;4.81;100.0;99.3;95.4;;A2A2xA2A2=100%A2;BBxAB=50%BB;Winterfell;1147.65;767.65;59.37;26.37;32.78;24.78;3.01;-0.15;-0.07;-1.07;1.50;-0.40;0.60;0.40;1.08;-1.32;1.02;1.52;2.70;2.10;0.10;-0.40;-0.27;0.69;-0.04;0.27;-0.40;-0.79;-0.05;-0.05;0.25;0.05;0.30;0.70;0.25;1.45;0.90;1.00;-0.05;0.15;1.35;-0.05;0.14;0.09;-0.18;-0.33;-0.01;-0.01;0.61;1.27;1.00;-0.98;-0.07;0.16;0.37;1.60;-0.03;0.08;-0.27;-0.43;0.08;0.40;-0.41;0.62;-0.52;1.00;0.12;1.11;0.35;0.39;-0.34;0.27;0.17;0.09;0.46;-0.05;-0.19;-0.49
21;177;156;007HO17593;Betzold;3422;1043;HOBRAC6735A204252;32;1094;1688;-506;268;165;-279;609;671;2555;2472;2068;2876;784;1842.0;66.1;4.13;-103;17.7;26.8;0.16;7.06;96.1;81.2;53.8;;A2A2xA2A2=100%A2;BBxAA=100%AB;;995.15;920.15;26.37;59.37;22.78;34.78;3.06;-0.21;-1.82;0.68;-0.75;1.85;-1.35;2.35;-1.47;1.23;0.07;2.47;1.75;3.05;-0.20;-0.10;-1.54;1.97;-0.85;1.07;-0.80;-0.40;-0.10;0.00;-0.05;0.35;-0.10;1.10;-0.40;2.10;0.35;1.55;-0.30;0.40;1.60;-0.30;-0.36;0.59;-0.64;0.11;-0.26;0.24;0.29;1.59;1.15;-1.12;-0.58;0.67;1.21;0.76;-0.98;1.04;-1.50;0.79;-0.73;1.21;-1.77;1.98;-1.54;2.02;-1.16;2.39;-0.72;1.46;-1.58;1.52;-1.12;1.38;-1.06;1.46;0.51;-1.20
22;157;135;007HO17593;Betzold;3422;1043;HOBRAC6735A204230;10;1105;2139;-430;306;203;-241;647;633;2780;2698;2294;3102;559;1034.8;66.0;4.13;-103;0.0;0.0;0.16;5.17;97.3;85.4;60.3;;A2A2xA2A2=100%A2;BBxAB=50%BB;Mosaic;1059.65;855.65;20.87;64.87;20.78;36.78;2.93;-0.07;-0.17;-0.97;0.90;0.20;-0.15;1.15;-1.57;1.33;0.82;1.72;3.70;1.10;0.40;-0.70;0.23;0.19;-0.04;0.26;0.34;-1.54;-0.10;0.00;0.10;0.20;0.00;1.00;0.35;1.35;0.30;1.60;-0.55;0.65;1.45;-0.15;0.63;-0.40;0.21;-0.73;0.10;-0.11;0.06;1.83;0.04;-0.01;0.41;-0.32;0.51;1.46;-0.14;0.19;-0.15;-0.56;0.25;0.23;0.53;-0.31;0.15;0.33;0.20;1.03;0.53;0.21;0.72;-0.80;-0.04;0.29;0.17;0.23;-0.22;-0.46
